id,rater_id,amcat_id,tagged_text,content,flow,grammer,emotion1,emotion2,review_flag,review_comment,status,
1,1,10016611374320,"To:vinod.pathak@superbazaar.in

Subject:Proposal for upgrading inventory mgmt. system





Hello Sir,



<oi>I am Rajeev Pathak, CSE,IT Systems</oi>. I heard that u wish to replace your old inventory management system by modern systems with RFID trackers.Our company IT Systems is a leader in the IT sector. Our most successful product is the RFID tracker.We have developed the technology and software to apply and track upto 1 MILLION RFID tags.Our clients can track theit items in real time using our proprietary ISys software tool. Thus we are the best company for this job.



Our company would be very delighted to work for an esteemed organization like SuperBazaar.I would like to know more about your softeare requirements, technical constraints, project timelines, budget etc<ccd>. I can send you the detailed time and cost estimates if you are interested.</ccd>



Sincerely

Rajeev Pathak,

Corporate Sales Executive,

IT Systems",2,3,4,Interested,,0, ,pending for approval,
2,1,10016614250601,"To:CHIEF OPERATING OFFICER, 

Subject:To upgrade old inventory management computer system

Email Body:

 HELLO SIR.

 



<op> Super Bazaar is looking to upgrade its old inventory management computer systems.</op> so our company may take up this, and we will do our best. <cdf>we will tell you our simpler way to deal.
</cdf>
",1,1,4,Neutral,Panicky,0, ,pending for approval,
3,1,10016616206567,"To:Chief Operating Officer of super bazaar

Subject:Information about detailed cost and time estimates

Email Body:<op>This is to inform you sir that we offer the modern computer systems with RFID tracking and real time cost reporting</op>.The prices we offer are also very reasonable as compared to our competitors in the market.So,if you want to place order with our company to place the order then please let us know about your software requirements ,technical constraints,project timelines,budget etc. So that we can get an idea about your requirements and budget and accordingly <ccd>we will try our best to serve you.
</ccd>


 Thanking you

yours sincerely

Rajeev Pathak

(Corporate Sales Executive)",2,2,5,Prideful,Interested,0, ,pending for approval,
4,1,10016691394173,"To:vinod.pathak@superbazaar.in.

Subject: Upgrade of old inventory management computer system

Email Body:

 <op>SuperBazaar upgrade the old inventory computer system in the marke</op>t. i think our company fulfill all the requirement as you want in the computer system. our company achieve many awards in last year. and our company profit is much better than othr company. our company are also provide reasonable price for the system. so please deal with us and<cff> i wish our company fulfill your need.
</cff>
Thank You

Ra",1,2,3,Despaired,Anxious,0, ,pending for approval,
5,1,10016691425855,"To:vinod.pathak@superbazaar.in

Subject:Proposal Regarding RFID Tracker

Email Body:

 

Hello Mr.Vinod Pathak



<op> This mail is regarding your requirement about new technology inventory system and RIFD Tracker</op>, i am Rejeev pathak CSE of IT system i received your email-id from our manager who contacted Sujoy Mishra in one of the conference.



It would be our immense pleasure to serve your requirement and i can give you this assurity that we the best company in this job.



kindly provide the related information regarding your product specification so that we can serve you with no delay. I would need to know the following details for the same:

1.kind of software requirement

2.required technical constraints

3.project timeline

4.budget



<cac>Please respond with all the required details </cac>and ",2,3,5,Interested,Prideful,0, ,pending for approval,
6,1,10016692627327,"To:vinod.pathak@superbazzar.in

Subject:""""Upgradation Of Inventory Management Computer System""",0,0,0,Neutral,,0, ,pending for approval,
7,1,10016692709039,"To:vinod.pathak@superbazaar.in

Subject:Proposal for modern inventory management computers

Email Body:

MR.SUJOY MISHRA

 <opc>This is withreference to your letter demanding suitable proposals about the new and modern inventory systems with RFID tracking and real time cost reporting.</opc> our company IT SYSTEMS is glad to offer you our technical help in the form of highly advanced computers which will help you upgrade your quality of management . we provide the the most develoed technology in RFID TRACKERS which are used extensively nowadays. our clients are always satisfied with our work and the support we provide afterwards. the new systems will help your company superbazaar to locate and track down your inventory anytime and anywhre. As for the pricing that can be negotiated later and you can expect the best deals from us. we will provide you with the systems as soon as you tell us about your requirements<cff>.I hope to get a speedy reply from your end.
</cff>


Yours Truly

Rajeev Pathak

CSE,IT SYSTEMS",2,3,5,Interested,Prideful,0, ,pending for approval,
8,1,10016694101055,"To:vinod.pathak@superbazaar.in

Subject:Cost and time estimates of our softwares that will fit your requirment

Email Body:

Dear Sir,

 <oi>We are leader in IT sector.</oi> We deliever technology engineering and business consulting to more than 1000 clients across the world. As we know you are are inquiring for new software for your super bazaars. As we know your company is pioneer in organized retail in India. We are intersting in providing you our latest softwares at reasonable price. Specification of our product is as under :-

RFID TRACKER : This is extensively used by courier companies and super markets to track their inventory. It can track upto 1million RFID tags.

Currunt Clients Ranges from Frunge to Hexamoto.

 We assure you that our product is up to date with new technologies and will improve your efficiency. A live demo will be given to your door step.

<cff>Hope you will give us a chance to serve you</cff>

Thanks.

Yours Regard

Rajeev Pathak",1,2,4,Elated,Interested,0, ,pending for approval,
9,1,10016694872189,"To:vinod.pathak@superbazzar.in

Subject:Inventory management computer system.

Email Body:Hello Sir,

 <oi>I am Rajeev Pathak as a Corporate Sales Executive in IT System</oi>.I get an opportunity to send you an e-mail.Sir,i would like to inform that our company have a different software which is useful for the users and the cost of this software is not much so that the user can easily buy.<cdf>Its honour that we are working with you.</cdf>

 Regards,



 Rajeev Pathak",0,1,4,Interested,Happy,0, ,pending for approval,
10,1,10016698577911,"To:vinod.pathak@superbazaar.in

Subject:REPLACE OUR OLD INVENTORY MANAGAMENT COMPUTER SYSTEM

Email Body:<oi>IT SYSTEM IS A LEADER IN THE IT SECTOR.</oi>It delivers technology engineering and business consulting to more than 1000 clients across the world. its annual revenue is 1 billion USD and has 40000 employees. its most successful product todate is RFID tracker.",1,0,0,Neutral,,0, ,pending for approval,
11,1,10016698922551,"To:vinod.pathak@superbazaar.in

Subject:To upgrade the old inventory management computer system

Email Body: Good morning sir!!

<oi>I am CSE of IT System</oi>. I came to know that you are looking for a company to upgrade the old inventory management computer. Sir, i assure you that our company is best to perform this job .<cff> If you are interested then i'll send you the detailed cost and time estimates. 

</cff>

Thanku

Rajeev Pathak

CSE",2,2,5,Prideful,Interested,0, ,pending for approval,
12,1,10016701861114,"To:vinod.pathak@superbazaar.in

Subject:Inventory management....

Email Body:

 Respectful,Chief Operating Officer...

<op> We got a news you wants to upgrade your old inventory management computer systems as soon as possible.</op>Our company like to work with you and upgrade your system.We are the best company for doing such type of work. For upgrading the system we wants some information like software requirements,technical constraints,project timeline,budget etc from you.

 We think you give this opportunity for our company.<cff>We give assurance to you get best work from us. </cff>",3,2,5,Interested,,0, ,pending for approval,
13,1,10016705260031,"To:vinod.pathak@superbazaar.in

Subject:Upgradation of old inventory computer systems of Superbazaar

Email Body:<op>We got the information that Superbazaar is looking to upgrade its old inventory management computer systems.It is to brong to your notice that our company IT systems is a leader in IT secto</op>r.It delivers technology engineering and business consulting to more than 1,000 clients across the world.Its annual revenue is 1 Billion USD And has 40,000 employees.Its most successful product is RFID Tracker used by courier companies to apply and track upto 1 million RFID tags.Our clients can track upto 1 million RFID cards.Our clients can track their items in real time using proprietary ISys software tool.Current clients range from Europe to Hexamoto.We got the information that your company wishes to replace old inventory computer system by RFID tracking and real time cost reporting.We are ready to take up your task.We can send detailed costs and time estimates if your company is interested.<cac>Please send all the information about your software requirements ,technical constraints,project timeliners,budget etc.</cac>",2,3,5,Interested,,0, ,pending for approval,
14,1,10016705375795,"To:vinod.pathak@superbazaar.in

Subject:PROPOSAL FOR REPLACING IMCS WITHRIFD TRACKING

Email Body:

HELLO VINOD

(COO, SuperBazaar)



<opc>In response to your advertisement(established 1990), IT SYSTEM keeps hre a proposal for you to replace your IMCS (inventory management computer system) with RFID tracking and real time reporting.
</opc>
Our technology and software can track up to 1 Million RFID tags. We use Our proprietary ISys software tool which has proved to be the best till date.

Our clients range from Frunge (Bangladesh's biggest fruit retailer) to Hexamoto (A high end spots-bike manufacturer in Denmark).

we can send you the details of cost and time estimated, if you are interested.Please mail me the software requirements, project timelines, <ccd>IT System would be happy to help you</ccd><cff>. w seek a positive response from you.
</cff>


Thanks

Rajeev Pathak

Corporate Sales Executive, IT System",2,2,4,Interested,Prideful,0, Improve the closing tag. IT System would be happy to help you- this should also be tagged.,pending for approval,
15,1,10016705592891,"To:vinod.pathak@superbazaar.in

Subject:RFID Tracking System Proposal

Email Body:

Sir,

<oi>IT System is a leader in the IT sector.</oi>It delivers technology engineering and business consulting to more than 1000 clients across the world.Our company will be pleased to provide you new RFID tracker. Here are the details and the quotations for the new 

RFID tracking and inventory management system:-



* We will provide you required software system within one month of the deal.

* Any upgradation or modification will be responsibility of our company for 1 year.

* Cost of the software will depend upon the hrdware and othr periphrals you are using. 





Furthr we will require some details to give you final and accurate cost:-

* Your additional requirements in the software.

* Your technical constraints,type of hrdware,server used. 

* Timeline for the software.

* Exact budget of the requirement.



<cff>We are expecting a great business future of IT Services and SuperBazaar which is retail sector pioneer in India.</cff>







With Regards,

Rajeev Pathak

Corporate Sales Executive

IT System",3,3,5,Interested,Elated,0, ,pending for approval,
16,1,10016705791214,"To:The COO

SuperBazaar

Subject:Proposal of modern computer systems and latest RFID tracker

Email Body:

Respected Sir

<oi>I am Rajeev Pathak and i am persuing my job in IT System as Corporate Sales Executive(CSE)</oi>. Sir i came to know that SuperBazaar is looking to upgrade its old inventory management computer systems. I can assure you that our company(IT Systems) is best in this job. We will provide you modern computer systems withreal time cost reporting and RFID tracking. We have developed the technology and sotware to apply and that can track upto 1 Million RFID tags. Our current clients ranges from Frunge to Hexamoto. Sir if you wish to give IT Systems a chance to serve you we will make sure that you would be provided latest stuff at a reasonable cost. 

If you find our proposal to be beneficial for you then do email us and kindly mention your software requirements, technical constraints, project timelines and budget in the email. We will be more than happy to serve you. <cff>We will be waiting for your feedback. Have a great day sir.
</cff>
Yours Sincerely

Rajeev Pathak

IT Systems

Corporate Sales Executive



",4,3,5,Interested,Prideful,0, ,pending for approval,
17,1,10016705898780,"To:vinod.pathak@superbazaar.in

Subject: Proposal for the upgradation of your Inventory control Systems.

Email Body:



To

Cheif Operating Officer

Superbazaar



Respected Sir,



<opc>As per your Invitation to all the competant companies for the upgradation of your Inventory Management Computer Systems</opc>, I take this oppurtunity to claim that our company IT Systems is one of the most competant company and it would be great pleasure for us to develop the software that will manage your systems.



Its my immense pleasure to tell you that our company (IT Systems) is dealing with with more than 1,000 clients across the world and over 40,000 employees and We are using RFID Tracker Tools that will efficiently manage your Inventory Control systems. 



I have gone through all your Software Requirements, Technical Constraints, Project Timelines, Budgets and othr specifications.



Sir, at the end, I would like to say you Kindly provide us this oppurtunity to serve your Organization. I assure you that our company will never let u down and will definately help you out.



<cth>I shall be very thankful to you if you provide us this oppurtunity.</cth>



Regards

Rajeev Pathak

Corporate Sales Executive

IT Systems.







",0,3,5,Interested,Prideful,0, Gave zero for content because he says he already has constraints n all,pending for approval,
18,1,10016739156415,"To: vinod.pathak@superbazaar.in

Subject: Upgradation Information

Email Body:

Hello Sir,

 <op>We came to know about your requirement for high end Information System with RFID tracking and Real Time Cost Reporting functionalities</op>. Being a leader in the IT Sector, we would love to extend our services to you for best results in your organisation. Our, ISys tool is already in use by Frunge and Hexamoto for RFID tracking. But, before everything we need to know to certain things, so that we can provide you a personalized and hassle free service.

<cac>Please, revert back with :

1. Software requirements

2. Technical Constraints

3. Project Timelines

4. Budget
</cac>


<cff>P.S. Would love to work with you.
</cff>


'Thank You'



Regards,

Rajeev Pathak

Corporate Sales Executive

IT Systems",3,3,5,Interested,Happy,0, ,pending for approval,
19,1,10016739207867,"To: Vinod Pathak

Subject: propasal from IT system for new RFID tracking system

Email Body:

Dear Mr. Pathak

<oi>I am Rajeev Pathak, Corporate sales executive from IT Systems.</oi>

I have come across the requirement of inventory system for SuperBazaar and to give you the best software service our firm is capable.

IT Systems is the leading technology provider and business cosunlting to more then 1000 clients. In Inventory control systems and perticularly RFID, we are the poineer of the RFID technology and software apply and track up to 1 million RFID tags.

As per your business model of retail RFID of IT Systems has solution of perfect software and we will be able to provide you with the full software by 3 months.

All the constrians of technical details of existing system will be provided and after the selling of product after sevice will be free for 2 years.

Wole package will be of 2.5 lakhs with after sales service.

<cff>So, IT System is willing to join hands with SuperBazaar and work for better future of both the firms.
</cff>


Thank you



Regards,

Rajeev Pathak

CSE

IT Systems",0,2,3,Interested,Anxious,0, ,pending for approval,
20,1,10016739286652,"To: vinod.pathak@superbazaar.in

Subject: New IT solution for Inventory management computer system.

Dear Sir,



<oi>I Rajeev Pathak, Corporate Sales Executive at IT Systems</oi> presents you proposal for your inventory management computer system. Our company is the leader in the IT sector and delivers technology engineering and business consulting to more than 1000 clients across the world including Frunge(Bangladesh's biggest fruit retailer). We have developed the technology and software to apply and track up to 1 million RFID tags. We are capable to provide you similiar kind of services as per your terms and conditions. For the same, I would require some details about the systems being used at your end for example the configuration on the systems, OS, type of database, how entreis are being made into the systems. These details will help in customizing the software as per the clients requirements.

Our company takes fifteen days once all the details are obtained by us and on the sixteenth day the softwares are deployed at the clients' end. The cost for software is Rs. 10,000 installed per machine. This is the base price and the price and be increase as per the add ons to the software. We are offering the minimum base price in the IT market. Besides, we provide training and servicing with the software deployment.

<cac>I request you to please send me the details as we can work upon project as soon as possible.
</cac>


Thanking you,

Yours Sincerely

Rajeev Pathak

CSE

IT System





",0,3,5,Neutral,,0, ,pending for approval,
21,1,10016739523175,"To:vinod.pathak@superbazaar.in

Subject: Inventory Management Computer System with RFID

Email Body:



Dear Sir,



<opc>This is in response to your advertisement that the Superbazaar is looking forward to revamping the inventory control computer systems. 
</opc>
We're pleased to inform that IT Systems offers to you the best in market technology engineering and business consulting at reasonable prices. We also aim to provide the world-class services. 



Our RFID tracking system is one of its kind. We have developed a software that can apply and track uptp 1 Million RFID tags. The tracking can be done in real time using our patented ISys software tool. 



We have successfully installed our softwares in plants of Frunje, the largest fruit retailer in Bangladesh and at Hexamoto, a Dannish sports - bike Manufacturer.



We look forward to serve you with thestate-of-the-art facilities.

We can send you the detailed cost and time estimates as per your discretion. <cac>Furthrmore, we would like to have information about your software needs, estimated budget, technical issues (if any) and project timelines.</cac>





Regards,

Rajeev Pathak,

Corporate sales Executive,

",3,3,5,Interested,Prideful,0, ,pending for approval,
22,1,10016739561135,"To: vinod.pathak@superbazaar.in

Subject: New Inventory Management System, IT System

Email Body:

Dear Sir,

<opc>This is in reference to your requrement of the new inventory management system for your store chains</opc>. We have a well recognized product that will suit your needs. Our product is used by companies like Frunge (Bangladesh's biggest fruit retailer), Hexamoto (Denmark's super-bike manufacturer) & many more reputed companies across the globe. 

 In your requrements you have mentioned the need of RFID tracking & real time cost reporting. Our product has been successfull in these areas over the years & has been satisfying customres with its user friendly interface. This system can enable the user to track upto 1 million RFID tags. This product is 



We would like to hear from you soon. <ccd>Please write to us if you have any query.
</ccd>


Thanks & Regards,

Rajeev Pathak

Corporate Sales Executive

IT Systems",2,2,5,Interested,,0, ,pending for approval,
23,1,10016739807783,"To:vinod.pathak@superbazaar.in



Subject:Proposal for upgradation of inventory system at SuperBazaar



Email Body:



Dear Mr Pathak,


<op>
I understand that SuperBazaar is looking forward to replace the existing inventory management computer system by modern systems with RFID tracking and real time cost reporting.



In this context, I would like to present our company, IT Systems, as an interested company to provide you with the required system. </op>



We are a leader in the IT sector and have been delivering technology engineering and business consulting to more than 1000 clients across the world. Our Company is a pioneer in RFID tracking. We have developed the technology and software to apply and track upto 1 Million RFID tags. Our current clients, ranging from Frunge (Bangaldesh's biggest fruit retailer) to Hexamoto( a high end sports-bike manufacturer in Denmark), can track their items in real time using our proprietary software tool.



I am sure that given a chance to serve we would help you have the best RFID tracking system which would also be a huge competitive advantage for SuperBazaar as no major supermarket is currently using such advanced system.



I would request you to provide the software requirements, technical constraints, project timeline and the budget details. This would help in understanding your requirements in a better and comprehensive manner. Also, the detailed cost and time estimates will also be communicated threafter.



<cff>Looking forward to your reply.</cff>



Thanks & Regards,

Rajeev Pathak

Corporate Sales Executive

IT System",3,3,6,Interested,Prideful,0, ,pending for approval,
24,1,10016739854523,"To:vinod.pathak@superbazaar.im

Subject:Old inventory management computer system

Email Body:

Respected Sir,

<op>It has come to our notice that Superbazaar wishes to replace the old inventory management computer system by modern systems. We,IT Systems, wish to offer you our proposal in this context.</op> Sir, as you know that IT systems is the leader in the IT sector and it delivers technology engineering and business consulting to more than 1,000 clients across the world. Our most successful product is RFID tracker which is also an essential need of your modern inventory management system. The RFID technology offered by us will enable you to track upto 1 million RFID tags in real time. We are already engaged withrange of clients which include Frunge and Hexamoto. So sir kindly send the detailed cost and time estimates so that we can help you out with it. KIindly forward your software requirements,technical constraints,project timeliness,budget and othr information that will be required by us to carry on this project. We ensure a pleasant and satisfying service. <cff>Looking forward for your response. Thank You.
</cff>


Regards,

Rajeev Pathak,

C",2,2,4,Interested,,0, ,pending for approval,
25,1,10016739949695,"To:vinod.pathak@superbazaar.in

Subject:Bid proposal for upgrading inventory management system 

Email Body: 

Sir,

<opc>In reference to your invitation of bids for upgrading inventory management system,

I would like to offer my company's services for the same</opc>. IT Systems is market leader in in its industry and has a revenue of over $1 billion. Our most successful product till date is RFID, which is used by many courier companies as well as by supermarkets.

We will have a dedicated team which will be working on this project. Our team comprises not only of technocrats but also inventory management experts which will provide us with their varied knowledge. Also our products are bug free and are tested by engineers and common user. 



Project completion time estimated is 3 months and estimated cost will be Rs 5 crores.



In case of any delay from our side, thre will be no need to pay any extra amount.



For more information about the the proceedings of this project, our company would appreciate if you can send the requirements you need in this.<ccd> We would put 100 % effort in providing you the same
</ccd>




Regards



Rajeev Pathak

Corporate Sales Executive

IT Systems",1,2,5,Interested,,0, ,pending for approval,
26,1,10016739959227," To:vinod.pathak@superbazaar.in

Subject:Proposal of RFID system

Email Body:

Dear Sir,

<op> It has come to our notice that you want to replace your inventory management system with the morden system.</op> So, i would like to grab this opportunity and on behalf of IT systems would like to represent RFID tracker as a solution to your problem. We can assure you about the quality of service we deliver by stating that we are suppliers to Frunge (Bangladesh's biggest fruit retailer) to Hexamoto ( a high end sports-bike manufacturer un Denmark) and they had timely shown their confidence in us.

 RFID is currently the best technique available for tracking inventory and reducing costs as it could serve the purpose of just in time, which is a method of inventory management. With the details available of whre the inventory is moving it becomes easy to track hence, thre it has led to redcution in cases of theft. <cac>If you are interested please do let us know with following details so that we could prepare a cost and time estimate chrt for you :

1.Software requirement

2.Technical constraints

3.Project timeliness

4.Budget

6.Any othr information which you might consider important for our deal</cac>

<cff>Hope to listen from you soon.</cff>

 Thanking you

Yours sincerely,

Rajeev Pathak

Corporate Sales Executive (CSE)

IT System",3,3,4,Interested,Panicky,0, ,pending for approval,
27,1,10016739981940," To:Mr. Vinod Pathak

Subject:Proposal to upgrade inventory mangement system

Email Body:

Dear Sir,

<oi>I am Rajeev Pathak and I work for IT System as CSE. IT sysytems is leader in IT sector and we have the best technologies available as RFID TRACKERS and so on.</oi> we also gave the best services associated with all our products. 

Please consider our company as the one to upgrade your bazaar and dont worry we will give you the best prices available for the upgradatio",0,1,1,Panicky,Anxious,0, ,pending for approval,
28,1,10016740141233," To:Vinod Pathak

Subject:Upgradation of the inventory management system

Email Body:<op>This is regarding your requirement of inventory management system upgradation.</op>We would like to inform you that we have developed RFID tag technology and software to apply and track up to 1million RFID tags.This would cost you Rs10 lakhs and the implementation period will be 2 months.<cff>If your requirements matches with our capabilities so kindly do response to this mail.</cff>

 

Thanking You

Regards

Rajeev Pathak",0,1,5,Neutral,,0, ,pending for approval,
29,1,10016745108277," To: vinod.pathak@superbazaar.in

Subject: upgradation of old inventory computer system

Email Body:



dear sir,

<op> It has come to our notice that your SuperBazaar is seeking for companies that could replace your old inventory computer systems by modern systems with RFID tracking and real time cost reporting.</op>Our company is intrested in taking up this project.

 IT System is a leader in the It sector. It delivers technology engineering and business consulting to more than 1,000 clients across the world. we have been providing quality services and products to our customers with no complaints.

 RFId tags are extensively used by courier companies and supermarket to track their inventory.we have developed the technology and software to apply and track up to 1 Million RFID tags. This technology has not been brought by any othr company in the market except ours till date.Our clients can track their items in real time using our proprietary ISys software tools. 

 Our current client range from Frunge (Bangladesh's biggest fruit retailer) to Hexamoto (A high end sports-bike manufacturer in Denmark).

 Also out company believes in using prototyping model due to which our customers can analyse and evaluate the requirements at every step.

 I,threfore, request you to consider our proposal.

<cdf>I am also mailing the detailed cost and time estimates as an attachment to the mail.</cdf>



Regards,



Rajeev Pathak

Corporate Sales Executive

IT System

",1,2,5,Interested,Anxious,0, ,pending for approval,
30,1,10016745179035,"To:vinod.pathak@superbazaar.in

Subject:Replace old inventory computer systems

Email Body:

 Hi Sir,

<oi> I'm Rajeev Pathak CSE of xyz company.</oi><op>Sir,we all know that soon you will going to upgrade your old computer system.</op>Sir,we all know that Superbazaar(established 1990) is the pioneer in organized retail in india.We wish to replace old inventory by modern systems our company is best.Sir,our company has reputation in market and your Superbazaar is one of the best in your field and it's an honour for us to work with you.Sir our company has 1000 clients across the world and its annual revenue is around 1BILLION USD and also have 40,000 employees.Sir,i'll assure you that our services are so fast and we will deliver (upgrade) the products on time.<cff>If,you selected us then i will send you the othr information shrtly.</cff>

 yours faithfully

 Rajeev P ",1,2,4,Panicky,Despaired,0, ,pending for approval,
31,1,10016745321338,"To:vinod.pathak@superbazaar.in

Subject:Replacement of old invertory management system.

Email Body:



Rajeev Pathak

Corporate Sales Executive(CSE)

IT Systems.



Date:26/02/2013



Vinod Pathak

Chief Executing Officer(COO)

SuperBazaar.



Dear Sir,



<opc>In response to your company proposal to replace the old inverntory system by modern RFID tracking system.</opc>I would like to shre our proposal to you that as the IT system is the big driver in IT sector resulting in revenue of 1 Billion USD.



We offers you to install our RFID tags that are extensively used by courier companies and supermarkets to track their inventory with capacity upto 1 Million RFID tags.Our current and fully satisfied clients are Frunge(Bangladesh biggest fruit retailer) to Hexamoto (A high end sports-bike manufacturer in Denmark) etc.



We are glad to offer you the inventory systems and wants to be your part in success in the organised retail market of India.<cff>As for this big deal we are waiting for your response.</cff>



Sincerly



Rajeev Pathak

(CSE) IT System.



Reference:

Sujoy Mishra 

(Sales Manager, SuperBazaar) ",1,2,4,Anxious,,0, ,pending for approval,
32,1,10016745431930," To:vinod.pathak@superbazaar.in.

Subject:Proposal for modern management systems.

Email Body:



Vinod Pathak,



<op>This is in context to your interest to upgrade your old inventory management system with modern systems with RFID tracking and real time cost reporting.</op>As being the Corporate Sales Executive hre at IT systems i like to persuade you to give our company the chance to modernize your systems as our company is the leading one in providing RFID tecnollogy.



Since our company has developed the technology and software to apply and track upto a million RFID tags.We have been serving Frunge to Hexamoto . I'll like you to go through our proposal . The time and cost estimations are hreby documented and attached . <cac>Kindly give a sneek look through the proposal.</cac>



Thanks

Rajeev Pathak",1,2,5,Prideful,Interested,0, ,pending for approval,
33,1,10016745582399,"To:vinod.pathak@superbazaar.in

Subject: Inventory management upgradation

Email Body: Hope you will be fine.....

Dear sir, 

<opc>I am Rajeev (sales executive) and today my sales manager (MR. Sujoy Mishra) informed me about the conference which held in Delhi and he told that Super Bazaar is looking to upgrade its old inventory management computer system</opc> so Sir we would like to have a Bussiness relation with you and we would to do a work for your SuperBazzar 

kindly give me information about your software reqirement,technical constraints,project timelines,budget etc.

If u wish we can send you proposals and time and cost estimates and i make sure that work satisfaction will be our first priority......

<cff>Hope for future dealing and meeting.........</cff>

Thanking you

Yours truly,

Rajeev Pathak ",3,2,5,Anxious,Panicky,0, ,pending for approval,
34,1,10016745639462,"To:vinod.pathak@superbazar.in

Subject:invitation to have business with IT System

Email Body:

Hi,Mr.Vinod Pathak



<oi>I am Rajeev Pathak CSE of IT System.</oi><opc>As I get information from your side that you want to change your inventory computer systems.</opc>So iwant to suggest you that we are leading in this field and can provide you better service than othr manufacturers competing in market.I want to make you sure that our work will beniffit you.

 If you are intersted in our company may see our offers which we are giving to you on our website.We have also some special offers for you only.<ccd>Related information and Query about our services and offers can call us our numbers:0542-22546852.</ccd>

Thanks

Rajeev Pathak

rajeevpathk  ",0,2,4,Prideful,Anxious,0, ,pending for approval,
35,1,10016826637694," To:vinod.pathak@superbazaar.in

Subject:superbazaar

Email Body:<oi>hello sir iam rajeev pathak. i have joinedb the company recently,

IT System as Corporate Sales Executive(CSE)</oi>

It is accepted by me.

<cdf>my weak point in english but i will get sucess in english languge</cdf>",0,0,1,Despaired,Panicky,0, ,pending for approval,
36,1,10016832151353," To:Chief Operating Officer

Subject:Proposal for providing RFID tracking 

Email Body:

Dear Sir,

<oi>We are IT System. The Leaders in the IT sector. We provide excellent service of technology engineering and business consulting all around the globe. </oi>We have developed the RFID tracking device that can track up to 1 Million RFID tags instantly. We provide our customers the tool to track their items in real time using our proprietary ISys software. We also provide best servicing and repair work at any working day. We need only a week time to replace your old inventory management computer system with this system. The estimate cost of system and data handling will range from 4 million to 5 million per month. <cff>We invite your interest and decision.</cff>

Thanking you



your faithfull

Rajeev Pathak

Corporate Sales Executive

IT System",1,1,5,Prideful,,0, ,pending for approval,
37,1,10016832163839," To: vinod.pathak@superbazaar.in

Subject: Upgradation of computer software 

Email Body: <ow>with warm regards i want to withraw your kind attension towards our IT SYSTEM.</ow> our company is a global leader in the ITsector. it delivers technology engineering and business consulting to more than 1000 clients across the world .

as we came to know that you want to upgarde your system software . we are curently using RFID TRACKERRFID tags are extensively used by courier companies and supermarkets to track their inventory. We have developed the technology and software to apply and track up to 1 Million RFID tags. Our clients can track their items in real time using our proprietary ISys software tool. Current clients range from Frunge (Bangladesh's biggest fruit retailer) to Hexamoto (A high end sports-bike manufacturer in Denmark).

sir give us a chance to serve you our services.



if you are intrested in our technology and customer satisfaction then kindly send us the details of your software requirements, technical constraints, project timelines, budget, etc from him. <cac>give us some more details about SuperBazaar.software requirements. so that we can send you the cost and time estimates.</cac>



thanking you 

rajeev pathak 

IT System* as Corporate Sales Executive (CSE)",3,3,4,Anxious,,0, ,pending for approval,
