,Amcatid,Sentences,Tag_name,Flow,Rater_id,All_tags
0,10016611374320,"I am Rajeev Pathak, CSE,IT Systems",oi_tag,3,1,"['oi', '/oi', 'ccd', '/ccd']"
1,10016611374320,. I can send you the detailed time and cost estimates if you are interested.,ccd_tag,3,1,"['oi', '/oi', 'ccd', '/ccd']"
2,10016614250601, Super Bazaar is looking to upgrade its old inventory management computer systems.,op_tag,1,1,"['op', '/op', 'cdf', '/cdf']"
3,10016614250601,"we will tell you our simpler way to deal.
",cdf_tag,1,1,"['op', '/op', 'cdf', '/cdf']"
4,10016616206567,This is to inform you sir that we offer the modern computer systems with RFID tracking and real time cost reporting,op_tag,2,1,"['op', '/op', 'ccd', '/ccd']"
5,10016616206567,"we will try our best to serve you.
",ccd_tag,2,1,"['op', '/op', 'ccd', '/ccd']"
6,10016691394173,SuperBazaar upgrade the old inventory computer system in the marke,op_tag,2,1,"['op', '/op', 'cff', '/cff']"
7,10016691394173," i wish our company fulfill your need.
",cff_tag,2,1,"['op', '/op', 'cff', '/cff']"
8,10016691425855, This mail is regarding your requirement about new technology inventory system and RIFD Tracker,op_tag,3,1,"['op', '/op', 'cac', '/cac']"
9,10016691425855,Please respond with all the required details ,cac_tag,3,1,"['op', '/op', 'cac', '/cac']"
10,10016692709039,".I hope to get a speedy reply from your end.
",cff_tag,3,1,"['opc', '/opc', 'cff', '/cff']"
11,10016692709039,This is withreference to your letter demanding suitable proposals about the new and modern inventory systems with RFID tracking and real time cost reporting.,opc_tag,3,1,"['opc', '/opc', 'cff', '/cff']"
12,10016694101055,We are leader in IT sector.,oi_tag,2,1,"['oi', '/oi', 'cff', '/cff']"
13,10016694101055,Hope you will give us a chance to serve you,cff_tag,2,1,"['oi', '/oi', 'cff', '/cff']"
14,10016694872189,I am Rajeev Pathak as a Corporate Sales Executive in IT System,oi_tag,1,1,"['oi', '/oi', 'cdf', '/cdf']"
15,10016694872189,Its honour that we are working with you.,cdf_tag,1,1,"['oi', '/oi', 'cdf', '/cdf']"
16,10016698577911,IT SYSTEM IS A LEADER IN THE IT SECTOR.,oi_tag,0,1,"['oi', '/oi']"
17,10016698922551,I am CSE of IT System,oi_tag,2,1,"['oi', '/oi', 'cff', '/cff']"
18,10016698922551," If you are interested then i'll send you the detailed cost and time estimates. 

",cff_tag,2,1,"['oi', '/oi', 'cff', '/cff']"
19,10016701861114,We give assurance to you get best work from us. ,cff_tag,2,1,"['op', '/op', 'cff', '/cff']"
